"ca"	"year"	"edad.media"	"esperanza.vida"	"tasa.fecundidad"	"pib.capita"	"ratio.sexos"	"tasa.paro"	"tasa.suicidio"
"navarra"	2006	41.31	82.024019	44.856934	5.98255245544106	99.9867090647501	4.59	6.81205700860978
"navarra"	2007	41.42	82.201241	44.473514	4.49175093134646	99.5994017381221	4.28	10.2331170074405
"navarra"	2008	41.36	82.290277	46.830959	2.29873348952496	100.060304100356	8.13	8.38199997743308
"navarra"	2009	41.36	82.89539	45.342737	-4.10249601699416	100.12504284463	10.51	9.35649515206683
"navarra"	2010	41.46	83.677534	44.979703	-0.484563200886057	99.9755102809724	11.77	6.12317953162387
"navarra"	2011	41.62	83.466985	44.969072	-0.761686143572615	99.7700648734423	13.8	7.94329422429059
"navarra"	2012	41.81	83.424704	45.225625	-3.84116636876599	99.4862478451811	17.17	7.44687122808215
"navarra"	2013	42.03	83.495476	41.484553	-0.138499107045231	99.1930000247262	16.44	8.06855791595356
"país vasco"	2002	41.83	80.159512	33.816374	5.66118861073954	95.923785768982	9.64	8.91721739179929
"país vasco"	2003	42.11	80.259133	36.160289	5.37595514762399	95.9594685112786	9.93	7.66971372083378
"país vasco"	2004	42.35	80.783054	36.94077	6.11859606968161	95.9651329978433	9.26	8.08403997770507
"país vasco"	2005	42.57	80.855976	37.329151	7.15672003881611	95.960974656029	6.45	8.00057980672482
"país vasco"	2006	42.77	81.485404	38.174609	7.74658516338389	95.7804621800548	6.92	6.93635983585198
"país vasco"	2007	42.95	81.340818	39.431008	5.96743127298196	95.5920424814965	5.9	8.35722222740982
"país vasco"	2008	43.1	81.741506	41.10152	3.25192504709342	95.7519406295317	8.48	7.92726571452943
"país vasco"	2009	43.25	81.979304	40.776743	-4.52901449924783	95.7332331317588	12.13	7.68814667326528
"país vasco"	2010	43.44	82.420672	41.921052	0.958830628939267	95.6068931270771	10.98	5.78422366766605
"país vasco"	2011	43.62	82.459487	42.53578	-0.903234376037731	95.4495434513042	13.16	7.87327325842738
"país vasco"	2012	43.8	82.751034	42.017006	-2.04074793914616	95.3487937077731	16.6	8.2075862719912
"país vasco"	2013	44.04	83.133078	40.010207	-1.48804433345877	95.1742574821717	16.58	8.25849735499949
"rioja, la"	2002	41.94	80.48261	36.941706	3.98541149109359	99.9616569862391	5.65	12.0732634030979
"rioja, la"	2003	41.9	80.598079	40.288363	5.92182178620446	100.418424631263	6.75	9.74285813702634
"rioja, la"	2004	41.89	81.345509	40.40499	3.67117765620502	100.597926731767	4.68	9.19765766318178
"rioja, la"	2005	41.82	80.969422	41.025176	5.56867101791418	101.590851266119	6.69	8.96759708254175
"rioja, la"	2006	41.84	81.875004	41.18829	6.71753047443655	101.801463565646	6.88	9.13906722763132
"rioja, la"	2007	41.91	81.486702	43.112041	4.74155641383844	101.682822546428	5.88	6.14950415577018
"rioja, la"	2008	41.77	81.927706	45.783235	1.93786285893613	102.025337397158	9.8	8.81886986182721
"rioja, la"	2009	41.83	82.516607	43.501902	-4.32925421380743	101.657378909164	13.76	8.39286047335733
"rioja, la"	2010	42.03	82.94618	44.473848	0.768271590040626	100.842827865023	15.58	5.27270753531939
"rioja, la"	2011	42.18	82.847579	42.13205	-1.60865399968065	100.129513611323	18.61	7.12173522626991
"rioja, la"	2012	42.39	82.66037	42.999799	-2.98592234979107	99.7154935662048	18.82	9.27044674282854
"rioja, la"	2013	42.67	83.605425	40.095518	0.00418182578514337	98.9442014480935	20.24	7.45279122558046
"valencia"	2002	40.01	79.011507	40.070869	4.59267359212685	97.5318494237314	10.71	6.93367798335363
"valencia"	2003	40.07	79.037621	41.832204	3.71725620026717	98.0129546586946	10.68	8.09683094063032
"valencia"	2004	40.07	79.797238	42.354757	4.4968359746878	98.2683771097608	10.11	7.8797280569383
"valencia"	2005	40.18	79.649656	42.790887	4.89817792068596	98.8186000476238	8.13	8.2686034520567
"valencia"	2006	40.3	80.438209	43.781321	6.11014611218963	99.2417312270036	8.48	7.55163194302866
"valencia"	2007	40.47	80.482982	44.172658	4.04429465575349	99.1558857451301	8.94	8.10640018718415
"valencia"	2008	40.5	80.852117	45.803698	1.24016658954189	99.4948769776548	14.58	7.37633064730184
"valencia"	2009	40.68	81.274595	42.290874	-5.74549776030716	99.2616094403227	22.09	7.47839656111528
"valencia"	2010	40.95	81.55327	42.240099	-0.533436787740649	98.9953117402697	22.57	7.82517617406009
"valencia"	2011	41.26	81.755724	40.82678	-1.88679245283019	98.694188498142	24.83	6.48793576161917
"valencia"	2012	41.58	81.856245	39.816243	-3.85112303716955	98.5884650438157	27.62	7.9153625489495
"valencia"	2013	41.91	82.366958	37.766182	-0.232570158664536	98.2655210221783	27.15	7.80239410303267
